	Unnamed: 0	belief	argument	label	explanation	generated_explanation	random_explanation
974	1188	Being a prostitute is dangerous.	Being a prostitute is something that many people would not enjoy.	support	(being a prostitute; is not a; choice)(choice; part of; unwanted)(unwanted; created by; would not enjoy)(would not enjoy; causes; dangerous)	being a prostitute causesdesire get away with crime hassubevent get arrested hasproperty dangerous	prostitute at location street_corner at location people 
975	1834	Individual who suffer economic sanctions are law abiding citizens.	Law abiding citizens cannot be sanctioned.	counter	(be sanctioned; synonym of; economic sanctions)(law abiding citizens; not capable of; be sanctioned)(law abiding citizens; is a; people)(people; is a; individuals)	be sanctioned _hassubevent pass course hasprerequisite study hard _capableof individuals	suffer motivated by goal hike has context american_football is a act is a law 
976	1860	Young people need money compared to the older folks, so force them to retire	Young mismanage all they have, so older folks should not be forced to retire.	counter	(older generation; not desires; forced to retire)(young people; synonym of; younger generation)(older folks; synonym of; older generation)(younger generation; capable of; mismanage)(mismanage; has context; money)(younger generation; antonym of; older generation)	older generation _isa older generation	retire has last subevent earn_living desires person not desires forced 
977	62	The use of recreational weed may increase DUI deaths.	The use of recreational weeds should be banned as the mortality rate is likely to increase.	support	(use of; has context; recreational weeds)(recreational weeds; causes; addiction)(addiction; capable of; use before driving)(use before driving; causes; accidents)(accidents; causes; increase dui deaths)(increase dui deaths; causes; mortality rate)(mortality rate; receives action; increase)	use of _hasprerequisite making shopping list causes increase	weed is distinct from tobacco desires person not desires mortality 
978	1999	Capital punishment is always brutal.	Capital punishment can cause miscarriage of law and order.	support	(capital punishment; capable of; miscarriage of law)(miscarriage of law; is a; brutal)(brutal; capable of; miscarriage of order)	capital punishment isa miscarriage of order	punishment is a prison at location city is a capital 
979	2190	School uniforms are good for school children.	Uniforms do not allow for individualism and individualism is a good thing.	counter	(lack of individualism; antonym of; individualism)(school uniforms; has context; lack of individualism)(school uniforms; not capable of; self expression)(lack of individualism; is not a; good)	lack of individualism _hasprerequisite improving yourself hassubevent good	school at location closet at location hat used for uniforms 
980	577	people should have whatever beliefs they desire.	If people have harmful beliefs, they should be silenced.	counter	(harmful beliefs; has property; beliefs they desire)(beliefs they desire; has subevent; problematic and biased)(problematic and biased; receives action; should be silenced)(people; capable of; harmful beliefs)	harmful beliefs _isa harmful beliefs	beliefs has a people 
981	406	Missionary work is manipulative.	Many cultures change as a result of missionary work.	support	(missionary work; causes; cultures change)(cultures change; capable of; manipulative)(missionaries; part of; missionary work)	missionary work _isa missionary work	missionary is a person not desires change 
982	1700	the church of scientology is controlling and overrides the rights of its members.	People do not think they are brainwashed but get spiritual fulfillment from the church of scientology.	counter	(church of scientology; not capable of; brainwashed)(brainwashed; synonym of; controlling)(members; desires; spiritual fulfillment)(spiritual fulfillment; not capable of; overrides the rights)(church of scientology; capable of; spiritual fulfillment)	church of scientology isa church usedfor spiritual fulfillment	scientology is a organisation is a organization made of people 
983	1578	women are not suited for combat.	Women and men are not the same.	support	(combat; desires; physical strength)(physical strength; not created by; women)(physical strength; created by; men)	combat _usedfor fighting enemy hassubevent fight war _capableof men	women is distinct from man is distinct from lady is distinct from men 
984	2340	It is the right of a business owner as to how they pay executives.	Executives are responsible for a lot of people, and should be paid accordingly.	support	(executives; has context; responsible)(responsible; desires; paid accordingly)(pay; has subevent; paid accordingly)	executives capableof pay accordingly	pay causes buying_small has prequisite money motivated by goal in_charge_of_project motivated by goal responsible 
985	343	cosmetic surgery leads to health and financial problems because it can be addictive.	Plenty of people only get one cosmetic procedure	counter	(cosmetic surgery; synonym of; cosmetic procedure)(people; desires; cosmetic surgery)(cosmetic procedure; not causes; addictive)(cosmetic procedure; not causes; financial problems)	cosmetic surgery _isa plastic surgery _usedfor losing consciousness causes financial problems	surgery is a artifact part of plant is a henna is a cosmetic 
986	1400	Children should be able to follow their dreams	Talented children can help improve the world	support	(children; capable of; dreaming)(dreaming; desires; follow their dreams)(talented children; capable of; improve the world)(talented children; capable of; follow their dreams)	children capableof follow their dreams	dreams is a hope desires person desires talented 
987	1634	social media is terrible for society.	If someone is being bullied, they do not have to use social media.	counter	(bullied; at location; anywhere)(social media; part of; anywhere)(bullied; has context; terrible for society)	bullied _notdesires person desires bad for society	terrible causes killing_people used for bomb has context social 
988	77	cannabis should be legalized	cannabis legalization will still lead to abuse of drugs	counter	(cannabis; receives action; addiction)(addiction; used for; abuse of drugs)(abuse of drugs; not receives action; legalized)	cannabis hasproperty illegal	cannabis has property good has property drugs 
989	346	When a person is forced to commit a crime, they have a right to the entrapment defense.	People are always able to use their free will	counter	(people; capable of; free will)(free will; not receives action; entrapment)(crime; part of; free will)	people capableof free will	entrapment has context legal has context free 
990	263	Women need to be protected and shouldn't be put on a battlefield.	Men are better at aggression	support	(men; has property; aggression)(aggression; used for; battlefield)(battlefield; is not a; safe)(protected; used for; reproductive resource)(women; is a; reproductive resource)(men; not has property; childbirth)(childbirth; desires; women)(safe; synonym of; protected)	men hasproperty male hascontext protected	women is distinct from man is distinct from animal has context slang has context weapon used for aggression 
991	815	Uniforms limit a student's ability to express themselves.	The belief that uniforms help students express themselves is inaccurate.	support	(school uniforms; has context; conformity)(conformity; not part of; individuality)(individuality; desires; express themselves)(express themselves; desires; opportunity)(ability; not created by; rigid rules)(opportunity; created by; ability)(rigid rules; part of; uniforms)	school uniforms isa uniforms	uniforms used for hat at location closet at location school at location students 
992	217	Austerity programs are terrible for the economy.	Austerity programs cut funding.	support	(austerity programs; capable of; cut funding)(cut funding; capable of; hurts business)(hurts business; causes; terrible)(terrible; has context; for economy)	austerity programs _causes fighting inflation usedfor for economy	terrible has property war is a act is a economics has context austerity 
993	2231	Executives should be compensated more.	Workers needs to be paid more as they are the ones that do the most job in the company	counter	(company; has property; executives)(company; has property; workers)(workers; has property; do most work)(do most work; has context; be paid more)(executives; has property; already high pay)(already high pay; not has property; be paid more)(be paid more; synonym of; be compensated more)	company _hasprerequisite getting contract causes be compensated more	
994	839	Severe punishments are not needed for three minor offenses.	multiple minor offenses are still minor	support	(minor legal infractions; not desires; severe punishments)(severe punishments; not used for; multiple minor offenses)(multiple minor offenses; has context; three minor offenses)(three minor offenses; has property; still minor)(three minor offenses; has context; three strike rule)(three strike rule; not has context; adverse environmental causes)(still minor; used for; adverse environmental causes)	minor legal infractions _causes obstructing justice hassubevent bad things hasa adverse environmental causes	punishments is a sentences at location verb at location sentence has context logic has context minor 
995	1006	sex selection should be banned.	People should be able to choose the sex of their baby.	counter	(people; capable of; choice)(choice; used for; sex selection)(sex selection; not used for; their baby)(choice; not receives action; banned)	people receivesaction banned	sex desires rich capable of buy has prequisite choose 
996	360	Atheists take freedom of religion away.	To be truly free we must be allowed to not be forced to choose a belief system.	counter	(free; has context; not be forced)(religion; part of; not be forced)(atheists; desires; not be forced)(atheists; desires; free)	free _distinctfrom free	atheists is a people desires social has context free 
997	0	Women should not be in combat.	Women and men have the same rights.	counter	(women and men; is a; citizens)(citizens; causes; have same rights)(have same rights; causes; women)(women; capable of; help the country)(help the country; desires; be in combat)	women and men isa in combat	women is distinct from man is distinct from lady is distinct from men 
998	888	Foster home makes it easy for a child to get permanent home.	Children finds it easy to get a permanent home and new family through foster parents.	support	(foster home; part of; foster parents)(foster home; desires; children)(children; receives action; permanent home)	foster home isa permanent home	child used for comfort at location home 
999	1183	Americans should be respectful of both the American flag and those who fought for that flag.	The American flag is a symbol of our country and of all those who have helped defend it.	support	(american flag; is a; symbol)(symbol; has context; our country)(our country; has context; helped defend it)(helped defend it; synonym of; fought for)(symbol; desires; respectful)(our country; has context; americans)	american flag atlocation americans	flag at location suface_of_moon at location american_flag is a symbol 
1000	1676	Factory farming benefits food production.	Factory farming is not the only way to feed the nation.	counter	(factory farming; is not a; only way)(factory farming; synonym of; commercial farming)(commercial farming; not capable of; benefits food production)	factory farming isa farming capableof benefit food production	food is a artifact part of factory 
1001	508	The church of scientology should be banned.	The church of scientology is abusive.	support	(church of scientology; is a; abusive)(abusive; synonym of; harmful)(abusive; desires; banned)	church of scientology hascontext religion _isa ban	scientology has context circuit has context electricity at location church 
1002	1586	When people use public defenders, it creates a balance in the criminal justice system.	Public Defenders can't always defend everyone.	counter	(public defenders; not capable of; defend everyone)(defend; part of; criminal justice system)(people; desires; defend)(public defenders; used for; defend)	public defenders capableof defend	justice used for court has context sports has context defend 
1003	321	embryonic sten cell research should not be subsidized due to violation of christian religious beliefs .	embryonic sten cell research targets some serious diseases.	counter	(embryonic sten cell; is a; embryonic stem cell)(embryonic stem cell; used for; research)(research; capable of; curing serious diseases)(curing serious diseases; is a; benefit society)(benefit society; desires; subsidized)	embryonic sten cell isa embryology _hascontext free distinctfrom subsidized	christian is a human at location state part of embryology has context embryonic 
1004	1548	There are other war roles that need to be filled such as planning techniques or nursing	These war roles are vital and need to be filled and helps other people in different roles	support	(war; causes; combat)(combat; receives action; needs support)(needs support; created by; other war roles)(needs support; has property; vital)	war _atlocation vital	nursing has context special desires person is a war 
1005	2003	stay at home Dad allows for gender equality at work	Most men are much more productive at work, so women should stay at home when men go to work	counter	(most men; capable of; productive at work)(productive at work; not has subevent; stay at home)(stay at home; used for; women)(women; not used for; work)	most men hasa hair usedfor work	dad is distinct from mum at location home is distinct from work 
1006	799	the three strikes law is damaging to society.	The three strikes law is too harsh on people.	support	(three strikes law; has property; strict)(strict; part of; too harsh)(too harsh; capable of; damaging to society)(damaging to society; made of; people)	three strikes law hascontext legal _hasproperty people	law has context strike_out has subevent playing_baseball causes strikes 
1007	116	plastic surgery should be discouraged.	Plastic surgery may be used to improve self esteem.	counter	(plastic surgery; capable of; being useful)(being useful; used for; self esteem)(self esteem; not receives action; discouraged)	plastic surgery isa surgery _hascontext stress test receivesaction discouraged	plastic has context medicine has context surgery 
1008	1384	Subsidizing journalism allows for unbiasedness of work by journalist	When journalism is subsidized journalist get more pay ans as a result be effective in their workplace	support	(subsidizing journalism; capable of; impartial)(impartial; part of; unbiasedness)(more pay; causes; be effective)(subsidizing journalism; causes; more pay)	subsidizing journalism _usedfor getting paid causes more pay	journalism is a power has prequisite helping causes pay 
1009	929	We should abolish intellectual property rights.	If we abolish  intellectual property rights, more people will be able to access information.	support	(intellectual property; not capable of; efficiency)(efficiency; not created by; access information)(access information; receives action; abolish)	intellectual property _hasa monopoly _distinctfrom free distinctfrom abolition	intellectual has context deep has context us has context theater has context property 
1010	1315	Homeopathy can be dangerous because it is unregulated.	A reputable third-party watchdog group checks the quality of homeopathic remedies and makes the results available on the web.	counter	(homeopathy; causes; homeopathic remedies)(homeopathic remedies; receives action; checks quality)(checks quality; created by; third party watchdog)(checks quality; causes; results available web)(results available web; causes; public knowledge)(public knowledge; causes; safety for users)(safety for users; antonym of; dangerous)(third party watchdog; has property; reputable)	homeopathy hascontext medicine isa science distinctfrom reputable	homeopathy has context attenuation has context biology is a person desires results 
1011	309	Intelligence tests are biased.	The people who do best on intelligence tests are white males.	support	(the people; receives action; do best)(do best; at location; intelligence tests)(intelligence tests; is a; white males)(white males; is a; particular group)(particular group; capable of; not inclusive)(not inclusive; is a; biased)	the people hasproperty biased	intelligence is distinct from stupidity at location people 
1012	11	marriage is useless nowadays.	Most people in society get married.	counter	(married; part of; couples)(couples; desires; marriage)(marriage; part of; society)(society; not desires; useless)	married _receivesaction people hasproperty stupid distinctfrom useful	marriage created by wedding at location people 
1013	1453	not everyone is on board with marijuana legalization.	Legalizing marijuana is still a controversial topic.	support	(legalizing marijuana; has context; controversial)(controversial; has context; not everyone)(not everyone; is a; in favor)(in favor; synonym of; on board)	legalizing marijuana _usedfor edibles atlocation bus capableof on board	board made of wood has property edible has context marijuana 
1014	303	people should have the right to live in an urban area if they desire.	Urban areas create a ton of pollution.	counter	(urban area; causes; ton of pollution)(ton of pollution; is a; harmful to people)(cities; not desires; live)(harmful to people; at location; cities)(cities; is a; urban areas)	urban area _atlocation urban areas	urban is distinct from country at location human at location thought capable of create 
1015	456	Every religion needs to be respected and allowed to be practiced.	religion is behind most wars.	counter	(every religion; causes; fights for power)(fights for power; is a; behind most wars)(behind most wars; not desires; be practiced)(behind most wars; not desires; be respected)(religion; created by; every religion)	every religion _isa every religion	respected has prequisite honest is distinct from liar is a person is a religion 
1016	157	Guantanamo Bay should have its prisoners transferred to U.S. soil so that American laws apply.	The prisoners in Guantanamo Bay must be kept in lockdown.	counter	(prisoners; has property; kept in lockdown)(kept in lockdown; not desires; american laws apply)(american laws apply; not part of; terrorism)(terrorism; has context; u.s. soil)(u.s. soil; not at location; guantanamo bay)(guantanamo bay; not desires; security breach)(security breach; created by; prisoners transferred)	prisoners _isa prisoners transferred	laws not desires person not desires crime at location jail at location prisoners 
1017	2238	We should adopt gender-neutral language so people are not inadvertently hurt.	It would take a long time to change to gender neutral language and many wouldn't cooperate.	counter	(gender-neutral language; has context; needed for minority)(gender-neutral language; has context; not for majority)(not for majority; has property; many wouldn't cooperate)(many wouldn't cooperate; antonym of; adopt)(gender-neutral language; used for; people)(gender-neutral language; not part of; our communication)(many wouldn't cooperate; antonym of; change)	gender-neutral language _isa slang _hascontext change	language has context cognition is a biology has context biosex has context gender 
1018	145	The government controls people's money.	The government controls people's money.	support	(the government; is a; leader)(leader; capable of; control)(control; used for; people's money)	the government _hasprerequisite fighting inflation usedfor us _isa us hasa our money	
1019	721	School uniforms help to prevent bullying	Bullies wear school uniforms as well	counter	(school uniforms; has property; effective on surface)(effective on surface; not capable of; prevent bullying)(prevent bullying; desires; closer evaluation)(closer evaluation; used for; bullies)(bullies; has subevent; troubled past)(troubled past; capable of; change)(change; created by; counciling)(counciling; not part of; uniforms)	school uniforms isa uniforms	uniforms used for hat at location closet at location school 
1020	2197	Sales of body parts provides income for the poor.	Organ sales is disastrous as poor people can be jilted	counter	(body parts; used for; ill people)(organ sales; has property; body parts)(organ sales; causes; income)(organ sales; capable of; risks their lives)(risks their lives; capable of; disastrous)(poor people; capable of; organ sales)	body parts _isa organs usedfor organ sales	body has a everybody desires good is distinct from poor 
1021	962	It is important to have subsidized student loans, so that all students can go to college.	Many kids have trouble affording college.	support	(many kids; capable of; trouble affording college)(trouble affording college; capable of; subsidized student loans)(subsidized student loans; capable of; providing education)(providing education; is a; important)	many kids hasproperty important	student at location school at location kids 
1022	1150	television is imperative as a source of information.	Television is still a notable media source.	support	(television; used for; disseminating)(disseminating; used for; information)(information; created by; notable media source)	television isa famous media source	imperative has context cfr has context legal has property television 
1023	2353	Misinformation about cures for cancer causes sudden death for people.	People do not pass away because of cancer treatment false information,  but because of ignorance	counter	(cancer treatment; has property; options)(options; causes; choices)(choices; has context; requires information)(requires information; has property; no information)(no information; is a; ignorance)(ignorance; capable of; poor choices)(poor choices; capable of; death)(cancer; receives action; cancer treatment)	cancer treatment _isa cancer treatment	death causes cancer 
1024	723	Payday loans can ruin people economically because they attract the poor, who already have financial problems, and the interest rates are so high.	Payday loans cost money in interest.	support	(payday loans; capable of; cost money)(payday loans; capable of; predatory lending)(predatory lending; capable of; ruin people economically)	payday loans capableof damage society _hassubevent destroy people economically	people is a customers capable of spend_money causes desire payday 
1025	166	Olympic games should not be abolished.	The olympics are expensive.	counter	(olympic games; has property; costly)(costly; synonym of; expensive)(expensive; part of; the olympics)(the olympics; receives action; abolished)	olympic games _usedfor arena _isa arena hascontext abolished	games used for stadium at location athlete at location olympics 
1026	971	More people die by gun violence in the US than any other developed country.	Guns are more accessible in the US than anywhere else.	support	(us; has context; lots of guns)(lots of guns; capable of; die by gun)(us; has context; more accessible)(more accessible; causes; die by gun)	us _isa we capableof die by gun	violence at location war at location guns 
1027	1436	Homeopathic remedies can provide emotional and physical healing.	Homeopathy provides a false sense of hope.	counter	(homeopathy; is not a; scientific and effective)(scientific and effective; capable of; provides)(provides; has context; false hope)(false hope; capable of; hurt emotional feeling)(hurt emotional feeling; antonym of; provide emotional healing)(false hope; not capable of; physical healing)(homeopathic remedies; synonym of; homeopathy)	homeopathy _isa homeopathy	emotional has property humans capable of excrete has context biology has context attenuation has context homeopathy 
1028	829	Since a private military company's primary goal is profit, they don't have the best interest of the nation as their primary goal.	money is the primary goal of companies	support	(private military company's; desires; money)(money; used for; profit)(profit; created by; companies)(companies; at location; nation)	private military company's isa organization _hasprerequisite conquering nation causes nation	military has a us has context primary 
1029	197	It is not fair to keep women out of the military because they are just as able as men to fight for America.	Many females have been shining examples of fine soldiers.	support	(women; has property; strong)(strong; capable of; military)(military; part of; soldiers)(soldiers; receives action; fight for america)(women; synonym of; females)	women _isa females	military has context men is distinct from females 
1030	348	Libertarians do not believe in funding the police adequately.	Libertarians believe in limited government.	support	(libertarians; capable of; limited government)(limited government; capable of; low taxation)(low taxation; not capable of; funding the police)	libertarians isa political party _atlocation government usedfor funding the police	police is distinct from guard has context rail has context limited 
1031	1936	Celibacy can result in less reckless sexual activity.	Shaming people by terming sexual activity as reckless, does not necessarily indicate a health risk.	counter	(celibacy; has context; shaming people)(shaming people; causes; risky behavior)(risky behavior; has context; reckless sexual activity)(shaming people; has context; sexual activity)	celibacy isa sexual activity	sexual has context biology is a person capable of judge causes desire activity 
1032	1005	Telemarketing is fast, safe and reliable.	There are a lot of online scammers today that allows telemarketing to be inefficient	counter	(telemarketing; has property; ineffective)(ineffective; part of; inefficient)(inefficient; created by; online scammers)(online scammers; not causes; safe and reliable)	telemarketing _hascontext safe and reliable	safe has context uk has context city at location circular_route has property inefficient 
1033	739	recidivist criminals often are punished.	Recidivist criminals don't have it easy.	support	(recidivist criminals; has property; dangerous)(dangerous; not capable of; have it easy)(have it easy; part of; punished)	recidivist criminals _usedfor getting away with crime causes punished	
1034	1549	Women should not be going to war.	Women and men are the same.	counter	(women and men; has context; the same)(the same; used for; same opportunities)(going to war; part of; same opportunities)(women; part of; women and men)	women and men _similarto women and men	women is distinct from man is distinct from lady is distinct from men 
1035	36	Entrapment is wrong.	Some criminals are impossible to capture through regular means.	counter	(some criminals; is a; impossible to capture)(regular means; capable of; impossible to capture)(entrapment; is not a; regular means)(regular means; is not a; wrong)	some criminals hasproperty wrong	entrapment has context legal has context convict at location jail at location criminals 
1036	263	marriage oppresses women.	Marriage is the bedrock of society.	counter	(marriage; causes; family stability)(family stability; is a; bedrock of society)(family stability; has property; women happy)(women happy; is not a; oppresses women)	marriage _hasprerequisite starting family causes oppresses women	marriage at location companionship used for book at location mammoth at location bedrock 
1037	337	Factory farming should stay in existence.	Factory farming allows for cheaper food.	support	(factory farming; capable of; cheaper food)(people; desires; cheaper food)(cheaper food; desires; stay in existence)	factory farming isa farming _hascontext stay in existence	stay is a backstay has context nautical has context catwalk at location factory 
1038	424	missionary work should be banned.	People would not be able to be saved without missionary work.	counter	(missionary work; used for; poor and underprivileged)(poor and underprivileged; desires; be saved)(be saved; created by; sense of goodwill)(sense of goodwill; not desires; should be banned)	missionary work _isa espionage _hascontext should be banned	work at location worker is a missionary 
1039	2002	legalizing Sex selection reduces over population	Sex selection makes gender unequal as a particular sex will be more than the other	counter	(sex selection; causes; gender unequal)(particular sex; not used for; reduces over population)(sex selection; causes; particular sex)	sex selection _usedfor proposing to woman causes attraction isa particular sex	population used for people has a sex 
1040	538	People should have their own opinions.	People should be able to make their own decisions.	support	(people; capable of; choices)(choices; part of; opinions)(opinions; used for; own decisions)	people hasa own decisions	people at location wedding causes desire go_to_hairdresser has prequisite make 
1041	1271	Americans should continue to have the right to bear arms.	The right to bear arms has always been in place, for good reason.	support	(bear arms; has context; important)(important; has context; should continue)(bear arms; created by; good reason)(good reason; has context; should continue)	bear arms _hasprerequisite fight war hassubevent should continue	americans is a people has property good 
1042	1979	France, German, Italy, and Spain all believe surrogacy is exploitation, and have it prohibited.	For infertile couples, surrogacy gives them a chance to have a child.	counter	(surrogacy; causes; have a child)(surrogacy; used for; infertile couples)(infertile couples; not desires; prohibited)	surrogacy hascontext sports hasproperty recreational hasproperty prohibited	spain at location valencian is a person not desires infertile 
1043	412	missionary work should not be banned.	Missionary work does not do much.	counter	(missionary work; receives action; promote their faith)(promote their faith; not capable of; do much)(do much; desires; banned)	missionary work _isa espionage _hascontext ban	missionary is a worker at location work 
1044	290	Missionaries interfere with other cultures.	Missionaries interact with people everywhere trying to help out.	counter	(missionaries; receives action; interact with)(trying to help; capable of; medical help)(interact with; has context; people everywhere)(people everywhere; desires; trying to help)(medical help; is a; needed by everyone)(needed by everyone; not causes; interfere with)(interfere with; has context; different cultures)	missionaries isa different cultures	interfere has context physics has context normal has property people 
1045	173	Targeted killing makes the country safer.	Targeted killing sets a poor example.	counter	(targeted killing; is a; poor example)(poor example; part of; immoral)(immoral; not used for; the country)(the country; not has property; safe)	targeted killing isa killing hasproperty dangerous distinctfrom safe	country at location war at location killing 
1046	2365	School prayer allows student to do what they are not thought at home	School prayer should be discouraged as it teaches the students other things from what they are thoughts	counter	(parents; has property; encourage children's beliefs)(encourage children's beliefs; at location; chosen by parents)(chosen by parents; has context; matching parents beliefs)(matching parents beliefs; is a; church or mosque)(church or mosque; has property; prayer)(church or mosque; is not a; school)	parents atlocation school	prayer at location church used for learn desires students 
1047	421	Religious communities can pressure people to become missionaries so missionary work should be banned.	Some people believe missionary work is important but too many people are manipulated into doing it for it not to be banned.	support	(missionary work; capable of; manipulated)(manipulated; synonym of; pressure people)(manipulated; desires; banned)	missionary work _isa espionage _hascontext ban	missionary is a person not desires manipulated 
1048	2239	Past criminal offenses should have no influence on punishment for current crimes	Many people have learned from their past and are not the same person they once were	support	(past criminal offenses; has context; from their past)(from their past; not has context; influence on punishment)(from their past; not has context; punishment)(from their past; is not a; current crimes)(people; has property; past criminal offenses)	past criminal offenses _isa past criminal offenses	criminal is a person desires future is distinct from past 
1049	2246	school uniforms help children to feel better about themselves	school uniforms cost less than regular clothes	support	(school uniforms; capable of; cost less)(cost less; has context; regular clothes)(children; synonym of; kids)(kids; desires; feel better)(kids; has context; school uniforms)	school uniforms _isa school uniforms	uniforms used for hat at location closet at location school 
1050	336	libertarianism is a stain on society.	Libertarianism cares about freedom and not about destruction.	counter	(libertarianism; capable of; cares about freedom)(libertarianism; not capable of; destruction)(destruction; is a; stain on society)	libertarianism isa political ideology capableof stain on society	libertarianism has context economics has context depression causes getting_divorce causes freedom 
1051	497	The cost is too expensive.	A high cost is out of reach for most people.	support	(the cost; has property; high)(high; created by; too expensive)(too expensive; used for; most people)	the cost hascontext business _atlocation people _isa most people	cost is distinct from free not desires person capable of climb_mountain motivated by goal high 
1052	578	Children are not helped by zero tolerance policies, as severely punishing minor infractions does not make for a safer school overall.	Punishing small infractions severely causes people to become more rebellious overall.	support	(punishing small infractions; has property; severe)(severe; not capable of; vary by individual)(vary by individual; has context; children)(children; has property; rebellious)(rebellious; not desires; zero tolerance policies)	punishing small infractions _usedfor punishing hasprerequisite zero tolerance policies	school used for education used for punishing 
1053	2291	Payday loans are terrible.	Applying for a payday loan is optional.	counter	(payday loans; capable of; meet cashflow need)(help people; is a; good thing)(good thing; is not a; terrible)(payday loans; is a; optional)(payday loan; synonym of; payday loans)(meet cashflow need; has property; help people)	payday loans _usedfor credit card _hasprerequisite paying by credit card hassubevent help people	payday causes desire spend_money motivated by goal buy_products motivated by goal loan 
1054	1504	State sponsored killing leads to a slippery slope of illegal activities by the state.	State sponsored killing is used by states to address security concerns.	counter	(state sponsored killing; used for; security concerns)(security concerns; not has context; slippery slope)(security concerns; not part of; illegal activities)	state sponsored killing isa illegal activities	state is a war at location killing 
1055	1477	Using algorithms in the stock market has no added value.	An algorithm can only make a fully accurate prediction using known facts.	support	(algorithms; capable of; no benefit)(no benefit; has context; no added value)(algorithm; desires; known facts)(stock market; not made of; known facts)(algorithm; synonym of; algorithms)	algorithms _isa algorithms	market capable of internet at location information is a algorithm 
1056	1186	We should be allowed to sell our organs legally.	Bodily autonomy grants us the right to sell our organs.	support	(sell our organs; desires; choice)(choice; desires; legally)(bodily autonomy; desires; sell our organs)	sell our organs _hasprerequisite sell our organs	organs at location person not desires rich capable of buy is distinct from sell 
1057	1231	Assisted suicide is not a crime.	Assisted suicide is legal in Oregon.	support	(assisted suicide; has context; asked for)(asked for; not capable of; crime)(assisted suicide; has context; legal in oregon)(legal in oregon; is not a; crime)	assisted suicide isa suicide _causes committing murder hasprerequisite crime	suicide causes depression causes stress has context legal 
1058	216	The gaza strip blockade is unfairly affecting women, children and the noncombatants.	People who aren't fighting are being unfairly affected by this blockade.	support	(people aren't fighting; is a; innocent)(innocent; capable of; being unfairly affected)(being unfairly affected; created by; this blockade)(this blockade; created by; gaza strip blockade)(people aren't fighting; has context; noncombatants)(women, children; capable of; being unfairly affected)(noncombatants; created by; women, children)	people aren't fighting _causes weeding garden usedfor women _isa women _distinctfrom men _similarto women	blockade has context chess part of queen used for people 
1059	462	Their self-esteem is affected as intelligence tests make children into stereotypes.	Children's self-esteem is affected by intelligence tests.	support	(intelligence tests; has property; culturally biased)(culturally biased; causes; invalid results)(invalid results; causes; self-esteem is affected)	intelligence tests _usedfor taking midterm causes self esteem is affected	children has property going_to_school causes learning causes intelligence 
1060	191	We should not close Guantanamo bay because there are a lot of bad men there and they don't need to be in the public.	Guantanamo bay needs to stay the way it is because there are bad men that live there and the public needs to be protected from them.	support	(guantanamo bay; capable of; protection)(public; desires; protection)(bad men; capable of; harm people)(guantanamo bay; is a; prison)(prison; capable of; protection)(harm people; antonym of; protection)	guantanamo bay isa prison usedfor protection	men has context military has a us has context private is distinct from public 
1061	1688	Libertarianism does not take care of citizens.	Citizens do not need to be taken care of.	counter	(citizens; not desires; taken care of)(libertarianism; part of; small government)(take care of; synonym of; taken care of)(small government; not used for; taken care of)	citizens capableof take care of	libertarianism has context philosophy is a person desires care 
1062	1208	Racial profiling is an act of racism	Racial profile affect small and certain particular set of race which is an act of racism	support	(racial profiling; used for; blacks)(blacks; part of; minor)(minor; used for; set of race)(set of race; receives action; racism)(racism; created by; racial profile)	racial profiling isa racial profile	profiling has context historical has context player has context gaming has context racial 
1063	1235	Practicing gender neutral language creates gender equality.	Gender inequality is a serious issue in the US, and adopting gender neutral language is a reasonable first step.	support	(gender neutral language; causes; gender equality)(gender equality; antonym of; gender inequality)(gender equality; part of; serious issues)(serious issues; at location; united states)	gender neutral language _atlocation united states	gender is a female is distinct from boy has context historical has context issue 
1064	1603	we should abandon the use of school uniform.	sometimes students want to show styles.	support	(school uniform; not capable of; show styles)(students; desires; show styles)(school uniform; is a; boring)(boring; desires; abandon)	school uniform isa uniform _hasprerequisite joining army hassubevent abandon	school at location students 
1065	1399	Executives should be paid less.	It is unfair to limit the money that they rightfully earned.	counter	(executives; has property; more responsibilities)(more responsibilities; is a; unfair)(unfair; has subevent; limit the money)(limit the money; has context; they rightfully earned)(they rightfully earned; not desires; paid less)	executives _usedfor serving customers causes pay less	paid is distinct from slave is a person desires life has property unfair 
1066	665	Public defenders should not be mandatory.	Not everyone wants to use a public defender.	support	(public defender; has property; heavy case load)(heavy case load; causes; focus spread thin)(focus spread thin; has property; not everyone wants)(not everyone wants; not has subevent; mandatory)(mandatory; causes; no choice)(no choice; desires; should not be)	public defender hascontext law _isa person notdesires should not be	
1067	211	Austerity would be terrible for society.	Austerity cripples society economically.	support	(austerity; synonym of; reduced government spending)(reduced government spending; causes; cripples society economically)(cripples society economically; is a; terrible for society)	austerity hasproperty bad for society	terrible has property war is a act is a economics has context austerity 
1068	1737	People should be allowed to show their faith in scientology	Scientology is a cult and many people have committed great crimes in scientology	counter	(scientology; is a; cult)(scientology; causes; committed great crimes)(committed great crimes; has context; cult)(cult; not part of; faith)	scientology _hascontext faith	scientology is a organisation is a organization made of people 
